411167488567566000.00,"things just don't happen randomly. there is a reason. always. you can imagine whatever the fuck you want to. #harsh #reality #sarcasm"""
409377432626421000.00,"Getting yelled at always puts me in the best mood #sarcasm"""
405428558459179000.00,"is this really happening to me, I'm losing my voice before I have to sing on Saturday ?? &amp; I have a cold sore...that's always a plus #sarcasm"""
394850650225651000.00,"You can always count on Bollywood for coming up with the scariest and most creative villains #sarcasm #krrish3 http"""
385849444908167000.00,"Always nice to be included though. #sarcasm"""
390548970818109000.00,"I just don't know how I will bear not seeing Ray Lewis on the field Sunday for the game. He always made the rivalry special. #Sarcasm"""
392676413867692000.00,"Always wanted to build a snowman during the World Series #sarcasm"""
504004636349853000.00,"RT @eliendecoster"""
391431267050614000.00,"It's always pleasant going to Walmart at this time #sarcasm"""
389899136306540000.00,"It's always a fun time when someone brings up your ex #sarcasm"""
421392167358464000.00,"@GottliebShow the best reason to do something"""
388313559102263000.00,"Clay Matthews doesn't do enough commercials. He should do more. They're always so innovative and he's always so funny. #sarcasm"""
553012502096015000.00,"Guys chill you know Carroll bouta be clutch and call it off in the morning like always #sarcasm"""
407872217658445000.00,"It's always fun to be sneezing &amp; coughing with a rib contusion. #sarcasm #sick"""
387704460002463000.00,"random drug tests always brighten up my lunch break bc that's exactly what i'd rather be doing other than eating ... #sarcasm #greattiming !"""
386130525779677000.00,"I'm tired of always being asked """"wait, are you serious?"""" #sarcasm"""
418905540514050000.00,"RT @JayTravon24"""
405945520952070000.00,"RT @Fraancheesecake"""
390495060997201000.00,"A team is always in great shape when they have to sign Peyton Hillis #sarcasm #Giants"""
413786758829342000.00,"Awkward work Holiday party tomorrow... Those are always so much fun! #sarcasm"""
418885032774598000.00,"@LloydChristmis @JamesPMorrison Surely. I always need all actors on TV to have the same political views as mine &amp; their characters. #sarcasm"""
379010490120167000.00,"Hang in there Nevada. You can always make a comeback #Sarcasm"""
553262480764329000.00,"Why does her boyfriend always get through to me ?? I was planning to not talk to her for the rest of lyfe #dafuq #sarcasm"""
383874003045068000.00,"things that will always sound #sarcastic"""
419904529962770000.00,"First Sundays in new singles wards are always just the greatest. #sarcasm"""
404553436063993000.00,"@M00CHH"""
