things just don't happen randomly. there is a reason. always. you can imagine whatever the fuck you want to. #harsh #reality #sarcasm,4.11E+17,
Getting yelled at always puts me in the best mood #sarcasm,4.09E+17,
is this really happening to me. I'm losing my voice before I have to sing on Saturday ?? &amp; I have a cold sore...that's always a plus #sarcasm,4.05E+17,
You can always count on Bollywood for coming up with the scariest and most creative villains #sarcasm #krrish3 http,3.95E+17,
Always nice to be included though. #sarcasm,3.86E+17,
I just don't know how I will bear not seeing Ray Lewis on the field Sunday for the game. He always made the rivalry special. #Sarcasm,3.91E+17,
Always wanted to build a snowman during the World Series #sarcasm,3.93E+17,
It's always pleasant going to Walmart at this time #sarcasm,3.91E+17,
It's always a fun time when someone brings up your ex #sarcasm,3.90E+17,
@GottliebShow the best reason to do something,4.21E+17,
Clay Matthews doesn't do enough commercials. He should do more. They're always so innovative and he's always so funny. #sarcasm,3.88E+17,
Guys chill you know Carroll bouta be clutch and call it off in the morning like always #sarcasm,5.53E+17,
It's always fun to be sneezing &amp; coughing with a rib contusion. #sarcasm #sick,4.08E+17,
random drug tests always brighten up my lunch break bc that's exactly what i'd rather be doing other than eating ... #sarcasm #greattiming !,3.88E+17,
"I'm tired of always being asked ""wait, are you serious?"" #sarcasm",3.86E+17,
A team is always in great shape when they have to sign Peyton Hillis #sarcasm #Giants,3.90E+17,
Awkward work Holiday party tomorrow... Those are always so much fun! #sarcasm,4.14E+17,
@LloydChristmis @JamesPMorrison Surely. I always need all actors on TV to have the same political views as mine &amp; their characters. #sarcasm,4.19E+17,
Hang in there Nevada. You can always make a comeback #Sarcasm,3.79E+17,
Why does her boyfriend always get through to me ?? I was planning to not talk to her for the rest of lyfe #dafuq #sarcasm,5.53E+17,
things that will always sound #sarcastic,3.84E+17,
First Sundays in new singles wards are always just the greatest. #sarcasm,4.20E+17,
@M00CHH,4.05E+17,
Best legislation is always rammed thru quickly as poss. MT @MichiganDems,3.96E+17,
"But it's always a good time for us to ""be on a break"" specially wen you r pregnant. #Sarcasm",4.08E+17,
Dear CTV News,4.20E+17,
Working for an hour and a half is always exhausting.  . #Sarcasm,3.83E+17,
Watching Jerry Springer and the Maury show on tv at the gym always restores my hope for humanity. #sarcasm #yikesss #wth,4.09E+17,
@AniLacy but blaming children or parents is always a good idea #sarcasm,3.88E+17,
@haldonahue but more guns is always the solution to stopping gun violence. Everyone should be armed and no one ever gets hurt. #Sarcasm,3.98E+17,
@RobynHaston well fuck a duck! Catching feelings is always fun! #sarcasm,3.92E+17,
Totaly...I think that @LittleMixOffic will always ignore me...Its great #Sarcasm,3.99E+17,
MTA always comes through in the clutch ,4.09E+17,
You know I always love the days when major plot aspects are spoiled for me. Today it was How I Met Your Mother. Woot. #sarcasm,3.79E+17,
@charles052090 @CassandraRules sucks the gov is shut down.We need to get these in people ASAP! The gov is always lookin out for us! #sarcasm,3.88E+17,
@lexusstaylorr then don't hit that certain nerve haha...go on youtube. They always do it right!  #sarcasm,4.15E+17,
Great basketball IQ by Bargnani as always #sarcasm,4.21E+17,
FairPlay always nice weather here in the garw valley!!!!! #sarcasm,4.02E+17,
"Yayy, a flooded kitchen is always fun #Sarcasm",4.10E+17,
"@morgan_dake yeah because my hair always looks so great right after a game, right? #Sarcasm",3.92E+17,
Fighting about exes is always a great feeling ?? #Sarcasm,4.17E+17,
I love how whenever you need me I'm always there but when I need you it's a different story #Thanks #Sarcasm,3.81E+17,
#NameYourWillyAfterAHurler Donal Og Cuzack... Always getting behind the lads #Sarcasm,4.21E+17,
I just love how you always ignore me now. Like I'm not even there! #sarcasm,4.12E+17,
Having low blood pressure is always fun! I just love having dizzy spells! #sarcasm #saveme,3.88E+17,
Why do I always look so freakin cute when I got to the gym?! #lol #sarcasm,3.83E+17,
@KendylElliott I always hate missing the day when the prof passes out the syllabus and dismisses and hour early.  #suchabummer #sarcastic ,4.23E+17,
Shopping last minute is always such fun. #sarcasm #whydidntwedothissooner,4.16E+17,
wow im glad i met you! you always make me feel so included so thank you so much! #sarcasm ????,3.90E+17,
Good thing I love always running on little sleep. #sarcasm,5.04E+17,
"the turn up is gonna be real tonight, gonna get fucked up yall, like always! #turnup #kikme #lfl #drunk #420 #blazeit #newyearnewme #sarcasm",4.18E+17,
@JOAQUINSEDILLO @CraigSAAVEDRA Don't forget sleeves ad collar. Ironing shirts is ALWAYS the best part of the day. #sarcasm #rebelironer,5.03E+17,
I always look forward to seeing Mr. Lemieux ever morning. ?? #sarcasm,3.97E+17,
Always great when your drunk mother and father come home at 04.33 and wake you up when you're up at 5 for work. #justlovely #sarcasm,4.19E+17,
It's always nice when your own family makes u feel like nothing..especially on New Years..YAY! #sarcasm #mylife,5.50E+17,
@MaverickFlex Well I could always  watch my knicks..... #sarcasm,5.45E+17,
"@TFCGooner @PaulBGee @adamwagner Always wanna be like Sam. Talk tough on pitch, get a yellow. #sarcasm",4.23E+17,
@gordon2017 I mean it's not like you really have a choice here. I'm the queen and I always get what I want. #sarcasm #imtheuglystepchild,4.21E+17,
It's always fun when it takes 4 hours to determine plans .... #sarcasm #fun,4.17E+17,
Always pack for trips at 3 in the morning the day you are leaving. It helps you remember what you forgot. #lizslifeadvice #sarcasm,4.03E+17,
Thanks for answering me. I know i can always count on you. #sarcasm,4.18E+17,
@morganblock10 is always so photogenic #sarcasm http,3.91E+17,
traffic after class is always a welcome sight #sarcasm #commuterproblems http,4.04E+17,
Always nice when people you thought were your friends are talking sh!t behind your back. #loveyoutoo #sarcasm,3.79E+17,
Nice and Mature as always. #sarcasm,4.14E+17,
@PhillipAdams_1 I would expect nothing less from the always vigilant Mr Cheney. #sarcasm #howlowcanchaneygo,4.10E+17,
"@thewisconsinner Yup and that's def my favorite sport lol #sarcasm,  I really have low-key always wanted to play that tho",3.96E+17,
Whitewater always smells so nice #sarcasm,3.88E+17,
"@jesssnaith @TomWadham Sounds good! I'll be Ron, I've always wanted to be a ginger. #sarcasm #bunddat",4.10E+17,
I absolutely adore how my neighbors always bring their crying newborn or temper tantrum throwing toddler outside... #sarcasm #itsSaturday,3.81E+17,
@AdamBaldwin always reliable intelligence. #sarcasm,5.50E+17,
mother nature has impeccable timing as always #finalsweek #really #sarcasm,4.09E+17,
People always ask me when I go to the city why I go. I gotta buy some damn cat food for my imaginary cat ! #shopping #sarcasm #seriouslytho,3.91E+17,
Unloading semi's in a skirt is always fun. #sarcasm,4.17E+17,
@mink_kardashian but Sam!!! They finally got their equal representation they've always needed on television!!!!!!!!!!!!! #sarcasm,5.50E+17,
"I love searching for awards tickets on @Delta.com! The website always works, and I always find low mileage tix!! #sarcasm",3.84E+17,
@ali_brooke_ always has the best comebacks #sarcasm,3.91E+17,
It's always heartwarming to see guys liking other girls pictures but not their own girlfriends #truelove #aww #sarcasm,4.13E+17,
always nice to wake up to a cute text #sarcasm #prick,3.84E+17,
"Lmfao wow that was nice. And cute. Everything always ends wrong, I love it! #Sarcasm ????",3.96E+17,
Doctors is always a pleasure #sarcasm,3.91E+17,
"@MorgannPaulding ik I'm always wrong , you're always right Morgann #sarcasm",4.21E+17,
"I wasn't always this sarcastic, it took years of dealing with assholes to become this good at it &lt;3 #sarcasm #suckit #whatwhat",3.80E+17,
Awesome. The Val-Morgan preshow. I always look forward to that when in a cinema. #sarcasm,5.48E+17,
You're truly always there for me bestfriend #sarcasm,3.95E+17,
I'm always lucky when it comes to timezones lol. #sarcasm,4.13E+17,
I love it when oomf always answers when I text them #sarcasm,3.85E+17,
Appreciate the 8,4.13E+17,
Florida bound a joy as always #sarcasm,4.06E+17,
@JayGlazer @MikelSevere He's got his dress shirt untucked.  What a shock. He's always given the impression of being a class act.  #sarcasm,3.99E+17,
@TaylorEspo @NicKlein You're cheating. Get back out those rulers and ellipses #sarcasm. Whatever the artist enjoys is always the best way.,5.04E+17,
Always nice talkin to ya pops #sarcasm,4.23E+17,
It's always a good night when the next day you have two tests #sarcasm,3.98E+17,
"@I_James_Bennett @geekstarter Yes, because we Americans always do everything the correct way. #Murica! #sarcasm",4.10E+17,
Just getting to talk to the famous @SethDriggers!!! Always love to hear from him! Can't wait for our roaaaadddd trrriiippp! #Sarcasm #LuhYew,3.97E+17,
@TrueReb89 Glad you cleared that up! I always wondered if my mama was really a dude! #sarcasm,3.85E+17,
I can't take compliments well. It's always awkward.,3.82E+17,
Always lovely when the coyotes bark all night #lol #no #jk #sarcasm #goodnight,5.47E+17,
Knocking my ankle in bed is always comfortable. #sarcastic #brokenagain,4.09E+17,
Sydney just came in the house to let me know my 17 y/o boyfriend is here. Always looking out for mom. #sarcasm,3.82E+17,
Court is always fun. #sarcasm,3.98E+17,
Always hate to see ohio state lose. #sarcasm,4.10E+17,
Thanksgiving always brings out the bright sides of my family #sarcasm,4.06E+17,
Conversations with the one you love are always #priceless #hilarious #sarcastic #actuallykindofmean #truthhurts #tweetable @SassafrassSam,3.86E+17,
"I'm always inspired by the creativity of the cheer, ""Go Pack Go"" #Sarcasm",5.54E+17,
@RealEliJones ya that always works #sarcasm,3.80E+17,
Tweeting your problems always solves them. #Sarcasm,4.08E+17,
Being sick is always fun! #sarcasm,5.52E+17,
@hudsonbarnes1 reorganize your iTunes library thats always fun! hahaha #sarcasm,5.49E+17,
@adrianabitch07 well duhhh! #lazytuesdays waking up is always funn!#sarcasm,4.15E+17,
We always get pens!!! #sarcasm,3.83E+17,
Getting the cops called on you is always fun &amp; then having the guy who called them apologize to you is really cool too. #funnight #sarcasm,4.23E+17,
@ohhsomerhalder I know I'm always right #sarcasm,3.92E+17,
fuck ya being put second when u put someone first is always a dec thing lol #sarcasm,4.11E+17,
Always a lovely time in the ER at 2 in the morning. Especially when it ends up being completely pointless and nothing's wrong. #sarcasm,3.82E+17,
Going to sleep feeling like you've fucked something up is always a great way to end the day. #sarcasm,4.06E+17,
our math teacher always says @NASA will come for us #sarcasm ,4.15E+17,
Oh boy! I've always wanted to be Microsoft Word certified! Gee I sure can't wait! #Sarcasm,4.02E+17,
@Crumps2 Always nice to have a glitch gremlin when you're trying to get things done. #Sarcasm,3.98E+17,
Plus cleaning off an older SUV when ur so short is always a blast to do a lot. #sarcasm,4.13E+17,
